name, rank
Tyrion Lannister, 0.000847135
Khal Drogo, 0.000816577
Arya Stark, 0.000815559
Robert Baratheon, 0.000811329
Jon Snow, 0.00078293
Joffrey Baratheon, 0.000780131
Robb Stark, 0.00077091
Jaime Lannister, 0.000723366
Eddard Stark, 0.000705545
Bran Stark, 0.000697964
Aerys II Targaryen, 0.000673223
Sansa Stark, 0.000654754
Benjen Stark, 0.000622364
Daenerys Targaryen, 0.000616285
Samwell Tarly, 0.00061287
Barristan Selmy, 0.000592273
Jorah Mormont, 0.000580177
Sandor Clegane, 0.000576633
Hot Pie, 0.000574628
Tywin Lannister, 0.000564709
Kevan Lannister, 0.000563794
Gendry, 0.000563794
Dunk, 0.000563794
Jafer Flowers, 0.000563794
Catelyn Stark, 0.000560065
Rakharo, 0.000546075
Rhaego, 0.00054533
Mago, 0.000545024
Jon Arryn, 0.000543775
Gregor Clegane, 0.000538125
Dolf, 0.000536135
Viserys Targaryen, 0.000535392
Bharbo, 0.000531133
Rhaegar Targaryen, 0.000530603
Theon Greyjoy, 0.000530348
Hugh, 0.000529937
Maester Aemon, 0.000529457
Mord, 0.000528066
Hallis Mollen, 0.000527025
Pypar, 0.000526272
Cersei Lannister, 0.000525825
Alliser Thorne, 0.000523188
Varys, 0.000521273
Illyrio Mopatis, 0.000518311
Ros, 0.000517692
Hodor, 0.000517063
Ilyn Payne, 0.000516813
Nymeria, 0.00051153
Luwin, 0.000509675
Wilbert Osgrey, 0.00050926
Shae, 0.000508347
Robin, 0.000507851
Mance Rayder, 0.000507695
Petyr Baelish, 0.000507691
Bronn, 0.00050679
Shagga, 0.00050679
Mycah, 0.000506212
Walder Frey, 0.000505553
Jory Cassel, 0.00050548
Dareon, 0.000505471
Heward, 0.00050542
Vardis Egen, 0.000504963
Garlan Tyrell, 0.00050489
Borcas, 0.000501601
Bowen Marsh, 0.000501601
Pycelle, 0.000500322
Aegon I Targaryen, 0.000500249
Timett, 0.000500221
